team,player,shot,airtime,arm_raised,jumping_point,jump_length,jump_angle, comment
F14,2,p51,0.420,2,21.6,149.8,-21
F14,3,p51,0.560,1,71.1,201.5,-21
F14,4,p51,0.380,0,51.6,151.0,-8
F14,1,p52,0.380,0,13.6,151.1,-22
F14,2,p52,0.420,2,29.9,161.5,-24
F14,3,p52,0.540,1,43.9,181.2,-15
F14,4,p52,0.360,1,49.5,160.7,-16
F14,1,p61,0.380,0,8.5,157.5,-12
F14,2,p61,0.400,1,20.8,148.1,-18
F14,3,p61,0.600,1,30.1,205.2,-21
F14,4,p61,0.380,1,45.2,150.4,-10
F14,1,p62,0.360,0,0.8,147.3,-22
F14,2,p62,0.420,1,11.4,145.6,-14
F14,3,p62,0.560,2,33.4,197.5,-24
F14,4,p62,0.400,1,51.8,163.7,-13




FA,1,f1,0.360,0,-,-,-
FA,2,f1,0.420,0,-,-,-
FA,3,f1,0.420,0,-,-,-
FA,4,f1,0.440,0,-,-,-
FA,5,f1,0.480,0,-,-,-
FA,1,f2,0.380,0,-,-,-
FA,2,f2,0.340,0,-,-,-
FA,3,f2,0.460,0,-,-,-
FA,4,f2,0.460,0,-,-,-
FA,5,f2,0.420,0,-,-,-
FA,1,f3,0.400,0,-,-,-
FA,2,f3,0.400,0,-,-,-, sjuk räddning
FA,3,f3,0.460,0,-,-,-
FA,4,f3,0.500,0,-,-,-
FA,5,f3,0.460,0,-,-,-
FA,1,f4,0.400,2,59.8,174.4,-17
FA,2,f4,0.429,2,51.0,193.0,-14
FA,3,f4,0.429,2,81.9,155.3,-7
FA,4,f4,0.400,0,58.3,127.6,-8
FA,5,f4,0.457,2,27.8,180.6,-18
FA,1,p11,0.440,2,40.8,171.0,-22 
FA,2,p11,0.380,0,-,-,-
FA,3,p11,0.440,0,-,-,-
FA,4,p11,0.440,0,-,-,-
FA,5,p11,0.420,0,-,-,-
FA,1,p12,0.460,2,98.2,187.1,-23
FA,2,p12,0.440,2,48.8,196.3,-15
FA,3,p12,0.460,2,77.1,154.9,-3
FA,4,p12,0.380,1,83.8,137.7,-9
FA,5,p12,0.460,2,32.9,184.5,-19
FA,1,p21,0.400,2,48.1,151.7,-15
FA,2,p21,0.400,2,47.9,193.9,-20
FA,3,p21,0.460,2,74.9,147.0,1
FA,4,p21,0.420,1,62.1,134.2,-1
FA,5,p21,0.460,2,30.1,199.3,-20
FA,1,p22,0.360,2,60.2,152.4,-19
FA,2,p22,0.400,2,60.3,225.8,-20
FA,3,p22,0.440,2,71.3,145.5,3
FA,4,p22,0.360,1,95.8,132.5,-2
FA,5,p22,0.480,2,35.9,203.1,-21
FA,1,p31,0.380,2,216.8,259.0,-52
FA,2,p31,0.400,2,49.9,206.1,-15
FA,3,p31,0.460,0,68.2,147.3,1
FA,4,p31,0.420,0,68.2,150.3,-4
FA,5,p31,0.460,2,31.7,204.2,-15
FA,1,p32,0.380,2,52.2,150.1,-12
FA,2,p32,0.400,2,54.4,208.9,-18
FA,3,p32,0.440,2,74.0,137.7,2
FA,4,p32,0.440,1,113.3,131.9,-8
FA,5,p32,0.460,2,31.1,175.6,6
FA,1,p41,0.400,2,43.9,152.3,0
FA,2,p41,0.380,2,45.7,-,-
FA,3,p41,0.480,2,67.1,226.8,-19
FA,4,p41,0.420,2,52.6,164.4,-6
FA,5,p41,0.480,2,23.8,163.4,-8
FA,1,p42,0.000,1,43.0,170.3,-7
FA,2,p42,0.400,2,50.2,220.6,-24
FA,3,p42,0.500,2,64.8,166.6,-7
FA,4,p42,0.440,2,40.2,134.7,-5
FA,5,p42,0.500,2,20.0,178.4,-9
FA,1,p51,0.420,2,44.6,176.0,-22
